label,class_name,precision,recall,f1,support,rare
5,hemorroids,0.5,0.1667,0.25,6,yes
6,ileum,0.0,0.0,0.0,9,yes
19,ulcerative-colitis-grade-1-2,0.0,0.0,0.0,11,
21,ulcerative-colitis-grade-2-3,0.0714,0.1071,0.0857,28,
17,ulcerative-colitis-grade-0-1,0.3684,0.2,0.2593,35,
0,barretts,0.1159,0.1951,0.1455,41,
16,short-segment-barretts,0.0865,0.1698,0.1146,53,
7,impacted-stool,0.6684,0.9847,0.7963,131,
22,ulcerative-colitis-grade-3,0.5633,0.6692,0.6117,133,
18,ulcerative-colitis-grade-1,0.5187,0.4826,0.5,201,
12,oesophagitis-b-d,0.6515,0.7692,0.7055,260,
14,retroflex-rectum,0.9165,0.9821,0.9481,391,
11,oesophagitis-a,0.5213,0.3648,0.4292,403,
20,ulcerative-colitis-grade-2,0.6899,0.6027,0.6434,443,
1,bbps-0-1,0.9796,0.9675,0.9735,646,
15,retroflex-stomach,0.9921,0.9882,0.9902,764,
10,normal-z-line,0.8359,0.8251,0.8305,932,
4,dyed-resection-margins,0.9121,0.913,0.9126,989,
9,normal-pylorus,0.967,0.997,0.9818,999,
3,dyed-lifted-polyps,0.9141,0.9132,0.9136,1002,
8,normal-cecum,0.9318,0.9881,0.9591,1009,
13,polyp,0.9766,0.9358,0.9558,1028,
2,bbps-2-3,0.9918,0.9425,0.9665,1148,
